country,last,previous,rate_of_change,unit,date
usa,3.8,4.1,0.2999999999999998,percent,2024-12-01
eurozone,15.22,15.57,0.3499999999999996,percent,2024-09-01
southkorea,34.4,35.2,0.8000000000000043,percent,2024-09-01
canada,7.1,6.2,0.8999999999999995,percent,2024-09-01
hongkong,0.22,0.3,0.0799999999999999,percent,2025-01-01
switzerland,14.9,15.5,0.5999999999999996,percent,2023-12-01
australia,3.2,2.4,0.8000000000000003,percent,2024-09-01
japan,3.4,6.1,2.7,percent,2024-09-01
uk,10.1,10.3,0.200000000000001,percent,2024-09-01
