country,last,previous,rate_of_change,unit,date
canada,11.8,9.1,2.700000000000001,percent,2025-01-01
australia,-11.9,-10.4,1.5,percent,2025-01-01
newzealand,14.61,14.99,0.3800000000000008,percent,2025-01-01
