fecha,regimen_aduanero,refrendo,item,ruc_importador,probable_importador,pais_de_origen,pais_de_procedencia,ciudad_embarque,via_de_transporte,aduana,partida_arancelaria,descripcion_arancelaria,descripcion_producto_comercial,marca,estado_de_mercancia,cantidad,unidad_de_medida,advalorem,us$_fob,us$_flete,us$_seguro,us$_cif,embarcador,empresa_de_transporte,pais_de_embarque,agente_de_aduana,nave,conocimiento_de_embarque,peso_neto_kg,tipo_aforo,dirección_consignatario,caracteristicas,producto,marca_comercial,año_fabricación,modelo_mercaderia,us$_fob_unit,código_tnan,contenedor,conocimiento_embarque,agencia_de_carga,país_de_origen,descripción_arancelaria,país_de_embarque
2018-01-18,importacion_a_consumo,028-2018-10-00041076,1,914351374001,velez_ruperti_xavier_andres,taiwan,taiwan,kaohsiung,maritimo,guayaquil_maritimo,8414809000,los_demás,aireador,generico,nuevo,264.0,numero_de_unidades,5415.65,102960.0,4792.0,561.0,108313.0,team_aqua_corporation,transoceanica_compañia_limitada,taiwan,01777790-ramirez_marquez_de_la_plata_francisco_javier,cisnes,,11750.0,aforo-aforo_documental,av_sixto_duran_ballen_km_8,aireador,paddlewheel_aerator,generico,0.0,generico,390.0,0,2.0,nykstpet31614600,carga_directa,,,
2018-01-18,importacion_a_consumo,028-2018-10-00041076,2,914351374001,velez_ruperti_xavier_andres,taiwan,taiwan,kaohsiung,maritimo,guayaquil_maritimo,8414809000,los_demás,swicth_magnetico_para_aireador,generico,nuevo,264.0,numero_de_unidades,729.65,9240.0,4792.0,561.0,14593.0,team_aqua_corporation,transoceanica_compañia_limitada,taiwan,01777790-ramirez_marquez_de_la_plata_francisco_javier,cisnes,,11750.0,aforo-aforo_documental,av_sixto_duran_ballen_km_8,swicth_magnetico_para_aireador,magnetic_switch_for_ta-66h2_440v,generico,0.0,generico,35.0,0,2.0,nykstpet31614600,carga_directa,,,
2018-01-18,importacion_a_consumo,028-2018-10-00041744,1,791724260001,crustaceos_&_peces_de_sud_america_s_a_crupesa,china,china,ningbo,maritimo,guayaquil_maritimo,8479899090,los_demás,aireador_de_16_paletas,generico,nuevo,66.0,numero_de_unidades,7979.17,51107.76,1560.0,526.68,53194.44,zhejiang_fordy_imp._&_exp._co._ltd.,greenandes_ecuador_s.a.,china,01900009-cornejo_&_iglesias_asociados_s.a.,wan_hai_515,,15351.6,aforo-aforo_automatico,25_de_junio_106_y_esmeraldas,aireador_de_16_paletas_csc-816,aireador_de_16_paletas,generico,2017.0,csc-816,774.36,0,0.0,asngb706891,farletza_s.a.,,,
2018-01-18,importacion_a_consumo,028-2018-10-00041902,1,791724260001,crustaceos_&_peces_de_sud_america_s_a_crupesa,china,china,ningbo,maritimo,guayaquil_maritimo,8479899090,los_demás,aireador_de_16_paletas,generico,nuevo,66.0,numero_de_unidades,7956.44,51107.76,1410.0,525.18,53042.94,zhejiang_fordy_imp._&_exp._co._ltd.,greenandes_ecuador_s.a.,china,01900009-cornejo_&_iglesias_asociados_s.a.,kota_layang,,14916.0,aforo-aforo_automatico,25_de_junio_106_y_esmeraldas,aireador_de_16_paletas_csc-816,aireador_de_16_paletas,generico,2017.0,csc-816,774.36,0,0.0,asngb707158,farletza_s.a.,,,
2018-01-19,importacion_a_consumo,028-2018-10-00046338,11,1792432960001,comercializadora_gnimport_s.a.,united_states,united_states,miami,maritimo,guayaquil_maritimo,8479900000,partes,aireador_para_silos,export_wamgroup,nuevo,6.0,numero_de_unidades,11.25,72.69,2.1,0.23,75.02,export_wamgroup_llc,citikold_s.a.,united_states,01900965-calahorrano_revelo_maria_de_lourdes,as_faustina,,2.28,aforo-aforo_documental,manuel_bedoya_oe5_-_02_y_aguirre,aireador_para_silos,aireador_para_silos,export_wamgroup,2017.0,u025,12.12,0,0.0,15932,saco_shipping_line_s.a.,,,
2018-01-23,importacion_a_consumo,028-2018-10-00052610,5,990792658001,importadora_lino_gamboa_cia._ltda._ilga,china,china,ningbo,maritimo,guayaquil_maritimo,8414809000,los_demás,aireador,generico,nuevo,25.0,numero_de_unidades,189.01,3645.0,126.21,9.05,3780.26,zhejiang_fordy_imp___exp_co_ltd,agencia_del_pacifico_delpac_s.a.,china,01777782-garcia_&_garcia_agentes_de_aduana_ggaa_cia._ltda.,wan_hai_516,,999.0,aforo-aforo_automatico,cdla_adace_calle_b_415_y_calle_novena_esq,bombas_de_aire_o_de_vacio,aireador,generico,0.0,yfbd1100-7-30,145.8,0,6.0,628nbh1712034,munditransport_s.a.,,,
2018-01-23,importacion_a_consumo,028-2018-10-00052610,4,990792658001,importadora_lino_gamboa_cia._ltda._ilga,china,china,ningbo,maritimo,guayaquil_maritimo,8414809000,los_demás,aireador,generico,nuevo,25.0,numero_de_unidades,219.35,4230.0,146.46,10.5,4386.96,zhejiang_fordy_imp___exp_co_ltd,agencia_del_pacifico_delpac_s.a.,china,01777782-garcia_&_garcia_agentes_de_aduana_ggaa_cia._ltda.,wan_hai_516,,1159.0,aforo-aforo_automatico,cdla_adace_calle_b_415_y_calle_novena_esq,bombas_de_aire_o_de_vacio,aireador,generico,0.0,yfbd1500-4-5,169.2,0,6.0,628nbh1712034,munditransport_s.a.,,,
2018-01-23,importacion_a_consumo,028-2018-10-00052610,3,990792658001,importadora_lino_gamboa_cia._ltda._ilga,china,china,ningbo,maritimo,guayaquil_maritimo,8414809000,los_demás,aireador,generico,nuevo,50.0,numero_de_unidades,591.15,11400.0,394.72,28.31,11823.03,zhejiang_fordy_imp___exp_co_ltd,agencia_del_pacifico_delpac_s.a.,china,01777782-garcia_&_garcia_agentes_de_aduana_ggaa_cia._ltda.,wan_hai_516,,3124.0,aforo-aforo_automatico,cdla_adace_calle_b_415_y_calle_novena_esq,bombas_de_aire_o_de_vacio,aireador,generico,0.0,swd-0.9,228.0,0,6.0,628nbh1712034,munditransport_s.a.,,,
2018-01-23,importacion_a_consumo,028-2018-10-00052610,1,990792658001,importadora_lino_gamboa_cia._ltda._ilga,china,china,ningbo,maritimo,guayaquil_maritimo,8414809000,los_demás,aireador,generico,nuevo,264.0,numero_de_unidades,10596.74,204351.84,7075.62,507.42,211934.88,zhejiang_fordy_imp___exp_co_ltd,agencia_del_pacifico_delpac_s.a.,china,01777782-garcia_&_garcia_agentes_de_aduana_ggaa_cia._ltda.,wan_hai_516,,56008.0,aforo-aforo_automatico,cdla_adace_calle_b_415_y_calle_novena_esq,bombas_de_aire_o_de_vacio,aireador,generico,0.0,csc-816,774.06,0,6.0,628nbh1712034,munditransport_s.a.,,,
2018-01-23,importacion_a_consumo,028-2018-10-00052610,2,990792658001,importadora_lino_gamboa_cia._ltda._ilga,china,china,ningbo,maritimo,guayaquil_maritimo,8414809000,los_demás,aireador,generico,nuevo,140.0,numero_de_unidades,2240.58,43208.2,1496.07,107.29,44811.56,zhejiang_fordy_imp___exp_co_ltd,agencia_del_pacifico_delpac_s.a.,china,01777782-garcia_&_garcia_agentes_de_aduana_ggaa_cia._ltda.,wan_hai_516,,11842.0,aforo-aforo_automatico,cdla_adace_calle_b_415_y_calle_novena_esq,bombas_de_aire_o_de_vacio,aireador,generico,0.0,scd-1.5,308.63,0,6.0,628nbh1712034,munditransport_s.a.,,,
