marca,eje_paletas,reductor,motor,flotador,tornillos,soporte_eje,chasis,matrimonios
WangFa,17.20,19.50,26.80,6.50,1.87,0.30,10.00,0.80
Beraqua,18.00,27.00,26.40,,,0.30,,0.80
